ticker,effective_date,era,era_lo,win_start,win_end,n_days_wide,car_eff,car_wide
ABNB,2023-09-18,2020–present,2020,2023-09-07,2023-09-19,9,-0.0022817953370793953,0.005298074238655581
KVUE,2023-08-25,2020–present,2020,2023-08-16,2023-08-28,9,-0.018725341920754368,-0.0030239285923946424
PANW,2023-06-20,2020–present,2020,2023-06-08,2023-06-21,9,-0.006174414718511767,0.0786377776420879
AXON,2023-05-04,2020–present,2020,2023-04-25,2023-05-05,9,-0.005930498848284671,-0.020140584396863725
FICO,2023-03-20,2020–present,2020,2023-03-09,2023-03-21,9,0.015287417144883686,-0.006617406304532114
BG,2023-03-15,2020–present,2020,2023-03-06,2023-03-16,9,0.04137769591500351,0.011692453482833542
PODD,2023-03-15,2020–present,2020,2023-03-06,2023-03-16,9,0.0018421359525194747,0.10774677915894038
GEHC,2023-01-04,2020–present,2020,2022-12-22,2023-01-05,9,0.022682316070716912,0.05694928978824787
STLD,2022-12-22,2020–present,2020,2022-12-13,2022-12-23,9,-0.012062787982934142,-0.02915738434483639
FSLR,2022-12-19,2020–present,2020,2022-12-08,2022-12-20,9,0.0015038958828518245,0.04108883688290854
ACGL,2022-11-01,2020–present,2020,2022-10-21,2022-11-02,9,0.029405714421354867,0.14874558532520332
TRGP,2022-10-12,2020–present,2020,2022-10-03,2022-10-13,9,0.06179734129916903,0.10346968631327647
PCG,2022-10-03,2020–present,2020,2022-09-22,2022-10-04,9,0.09894842000045467,0.08959779860825634
EQT,2022-10-03,2020–present,2020,2022-09-22,2022-10-04,9,0.08916674320074791,-0.004802423571347747
CSGP,2022-09-19,2020–present,2020,2022-09-08,2022-09-20,9,-0.011693485968466644,-0.06653711848515531
INVH,2022-09-19,2020–present,2020,2022-09-08,2022-09-20,9,-0.029356613346133487,-0.05410021167555812
KDP,2022-06-21,2020–present,2020,2022-06-09,2022-06-22,9,-0.012670907187554037,0.05529800119353445
ON,2022-06-21,2020–present,2020,2022-06-09,2022-06-22,9,-0.07203809684961826,-0.1293833116690022
VICI,2022-06-08,2020–present,2020,2022-05-27,2022-06-09,9,-0.030451293488898412,0.0306369036741041
WBD,2022-04-11,2020–present,2020,2022-03-31,2022-04-12,9,0.09271363289358459,0.009634972296758026
CPT,2022-04-04,2020–present,2020,2022-03-24,2022-04-05,9,0.023955879182008366,0.03371666129814388
MOH,2022-03-02,2020–present,2020,2022-02-18,2022-03-03,9,0.025517613703869735,-0.01368814458244616
NDSN,2022-02-15,2020–present,2020,2022-02-04,2022-02-16,9,0.06409891701274406,0.016326563604607047
CEG,2022-02-02,2020–present,2020,2022-01-24,2022-02-03,9,0.12051021629062741,0.16180329606730393
SEDG,2021-12-20,2020–present,2020,2021-12-09,2021-12-21,9,-0.007681741466798342,-0.1386139388184684
FDS,2021-12-20,2020–present,2020,2021-12-09,2021-12-21,9,0.010817451409090406,0.011105633722050423
EPAM,2021-12-14,2020–present,2020,2021-12-03,2021-12-15,9,-0.0704772445831694,0.03414862594984125
MTCH,2021-09-20,2020–present,2020,2021-09-09,2021-09-21,9,-0.023992281503601443,-0.0031621079410408814
BRO,2021-09-20,2020–present,2020,2021-09-09,2021-09-21,9,0.012923141446858577,0.002685080368775905
TECH,2021-08-30,2020–present,2020,2021-08-19,2021-08-31,9,0.0004666277540968933,0.03144754803170269
MRNA,2021-07-21,2020–present,2020,2021-07-12,2021-07-22,9,0.0077351204809283924,0.3422067401991963
OGN,2021-06-03,2020–present,2020,2021-05-24,2021-06-04,9,-0.055242256366679676,-0.10895271274348106
CRL,2021-05-14,2020–present,2020,2021-05-05,2021-05-17,9,-0.005625335953832744,-0.04707422533450245
