ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason
PFHC,PFHC,ProFrac Holding Corp,2022-05-13,nan,2022,18.0,1.0,140142051.0,,,,,2.522556918,2.522556918,ritter-anchor,med,ticker+date,drop,~$2.5B at listing (well below $5B)
ZKH,ZKH,ZKH GROUP LTD,2023-12-15,2023-12-15,2023,15.5,2.0,5621490964.0,5637415964.0,160614000.0,,2.489517,,2.489517,single:yf,low,ticker+date,drop,~$2.5B at listing (well below $5B)
LOAR,LOAR,Loar Holdings Inc.,2024-04-25,2024-04-25,2024,28.0,1.0,,89703571.0,88000000.0,2.511699988,2.464,,2.4878499940000003,auto:edgar+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
CAVA,CAVA,"CAVA GROUP, INC.",2023-06-15,2023-06-15,2023,22.0,1.0,,113583513.0,111386000.0,2.498837286,2.450492,,2.474664643,auto:edgar+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
ADPT,ADPT,Adaptive Biotechnologies Corp,2019-06-27,2019-06-27,2019,20.0,1.0,,124287992.0,120974000.0,2.48575984,2.41948,,2.45261992,auto:edgar+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
MOMO,MOMO,Momo Inc,2014-12-11,2014-12-11,2014,13.5,2.0,372956110.0,,179841000.0,,2.4278535,,2.4278535,single:yf,low,ticker+date,drop,~$2.4B at listing (well below $5B)
JUNO,JUNO,Juno Therapeutics Inc,2014-12-19,2014-12-19,2014,24.0,1.0,,,100617000.0,,2.414808,,2.414808,single:yf,low,ticker+date,drop,~$2.4B at listing (well below $5B)
JELD,JELD,JELD-WEN Holding Inc,2017-01-27,2017-01-27,2017,23.0,1.0,,104938028.0,104938000.0,2.413574644,2.413574,,2.413574322,auto:edgar+yf,high,ticker+date,drop,~$2.4B at listing (well below $5B)
RSPP,RSPP,RSP Permian,2014-01-17,2014-01-17,2014,19.5,1.0,,,123644000.0,,2.411058,,2.411058,single:yf,low,ticker+date,drop,~$2.4B at listing (well below $5B)
PRVA,PRVA,Privia Health Group Inc,2021-04-29,2021-04-28,2021,23.0,1.0,,105727318.0,103897000.0,2.431728314,2.389631,,2.410679657,auto:edgar+yf,high,ticker+date,drop,~$2.4B at listing (well below $5B)
FLYW,FLYW,Flywire Corp,2021-05-26,2021-05-26,2021,24.0,1.0,,98678181.0,99800600.0,2.368276344,2.3952144,,2.381745372,auto:edgar+yf,high,ticker+date,drop,~$2.4B at listing (well below $5B)
PF,PF,Pinnacle Foods,2013-03-28,2013-03-28,2013,20.0,1.0,,,116607000.0,,2.33214,,2.33214,single:yf,low,ticker+date,drop,~$2.3B at listing (well below $5B)
CURV,CURV,Torrid Holdings Inc,2021-07-01,2021-07-01,2021,21.0,1.0,,110080448.0,110000000.0,2.311689408,2.31,,2.310844704,auto:edgar+yf,high,ticker+date,drop,~$2.3B at listing (well below $5B)
SFBS,SFBS,ServisFirst Bancshares Inc,2014-05-14,2014-05-14,2014,91.0,1.0,,24749436.0,25904000.0,2.252198676,2.357264,,2.304731338,auto:edgar+yf,high,ticker+date,drop,~$2.3B at listing (well below $5B)
SWIM,SWIM,Latham Group Inc,2021-04-23,2021-04-23,2021,19.0,1.0,,120409271.0,120426000.0,2.287776149,2.288094,,2.2879350745,auto:edgar+yf,high,ticker+date,drop,~$2.3B at listing (well below $5B)
ARDT,ARDT,"Ardent Health Partners, Inc.",2024-07-18,nan,2024,16.0,1.0,,142763328.0,,2.284213248,,,2.284213248,single:edgar,low,ticker+date,drop,~$2.3B at listing (well below $5B)
COLD,COLD,AmeriCold Realty Trust,2018-01-19,2018-01-19,2018,16.0,1.0,,142582164.0,142388000.0,2.281314624,2.278208,,2.2797613119999998,auto:edgar+yf,high,ticker+date,drop,~$2.3B at listing (well below $5B)
ATAI,ATAI,ATAI Life Sciences BV,2021-06-18,2021-06-18,2021,15.0,1.0,,,151856000.0,,2.27784,,2.27784,single:yf,low,ticker+date,drop,~$2.3B at listing (well below $5B)
FA,FA,First Advantage Corp,2021-06-23,2021-06-23,2021,15.0,1.0,,152856250.0,147750000.0,2.29284375,2.21625,,2.254546875,auto:edgar+yf,high,ticker+date,drop,~$2.3B at listing (well below $5B)
LOMA,LOMA,Loma Negra Cia Industrial,2017-11-01,2017-11-01,2017,19.0,2.0,596031625.0,596026490.0,117555000.0,,2.233545,,2.233545,single:yf,low,ticker+date,drop,~$2.2B at listing (well below $5B)
BTSG,BTSG,BrightSpring Health Services,2024-01-26,2024-01-26,2024,13.0,1.0,,171320174.0,171190000.0,2.227162262,2.22547,,2.226316131,auto:edgar+yf,high,ticker+date,drop,~$2.2B at listing (well below $5B)
BJ,BJ,BJ's Wholesale Club Holdings,2018-06-28,2018-06-28,2018,17.0,1.0,,135412918.0,126308000.0,2.302019606,2.147236,,2.2246278029999997,auto:edgar+yf,high,ticker+date,drop,~$2.2B at listing (well below $5B)
CTKB,CTKB,Cytek Biosciences Inc,2021-07-23,2021-07-23,2021,17.0,1.0,,46425422.0,130809000.0,0.789232174,2.223753,,2.223753,single:yf,low,ticker+date,drop,~$2.2B at listing (well below $5B)
BV,BV,Brightview Holdings Inc,2018-06-28,2018-06-28,2018,22.0,1.0,,102425209.0,99180800.0,2.253354598,2.1819776,,2.217666099,auto:edgar+yf,high,ticker+date,drop,~$2.2B at listing (well below $5B)
VIR,VIR,Vir Biotechnology Inc,2019-10-11,2019-10-11,2019,20.0,1.0,,109678822.0,109397000.0,2.19357644,2.18794,,2.19075822,auto:edgar+yf,high,ticker+date,drop,~$2.2B at listing (well below $5B)
AVAH,AVAH,Aveanna Healthcare Holdings In,2021-04-29,2021-04-28,2021,12.0,1.0,,184164184.0,180164000.0,2.209970208,2.161968,,2.1859691039999998,auto:edgar+yf,high,ticker+date,drop,~$2.2B at listing (well below $5B)
ALLO,ALLO,Allogene Therapeutics Inc.,2018-10-11,2018-10-11,2018,18.0,1.0,,121482671.0,115689000.0,2.186688078,2.082402,,2.134545039,auto:edgar+yf,high,ticker+date,drop,~$2.1B at listing (well below $5B)
NEXA,NEXA,Nexa Resources SA,2017-10-27,2017-10-27,2017,16.0,1.0,,133320513.0,,2.133128208,,,2.133128208,single:edgar,low,ticker+date,drop,~$2.1B at listing (well below $5B)
EM,EM,Smart Share Global Ltd,2021-04-01,2021-04-01,2021,8.5,2.0,498872147.0,,249286000.0,,2.118931,,2.118931,single:yf,low,ticker+date,drop,~$2.1B at listing (well below $5B)
TENB,TENB,Tenable Holdings Inc,2018-07-26,2018-07-26,2018,23.0,1.0,,93033759.0,91079504.0,2.139776457,2.094828592,,2.1173025245,auto:edgar+yf,high,ticker+date,drop,~$2.1B at listing (well below $5B)
RLJ,RLJ,RLJ Lodging Trust,2011-05-10,2011-05-11,2011,18.0,1.0,,106324083.0,125098000.0,1.913833494,2.251764,,2.082798747,auto:edgar+yf,high,ticker+date,drop,~$2.1B at listing (well below $5B)
